cohort,draw,alpha,stratum,n_lesions,n_patients,rate,cp_lo,cp_hi,boot_lo,boot_hi
pad,2,0.05,M2,152,107,0.0,0.0,0.02397682090379162,0.0,0.0
pad,2,0.05,M3,66,44,0.0,0.0,0.054358847170121974,0.0,0.0
pad,2,0.05,B,20,17,0.05,0.0012650894979498047,0.24873276277202777,0.0,0.15789473684210525
pad,2,0.1,M1,33,17,0.0,0.0,0.10576281007457927,0.0,0.0
pad,2,0.1,M2,152,107,0.0,0.0,0.02397682090379162,0.0,0.0
pad,2,0.1,M3,66,44,0.0,0.0,0.054358847170121974,0.0,0.0
pad,2,0.1,B,20,17,0.05,0.0012650894979498047,0.24873276277202777,0.0,0.16666666666666666
pad,2,0.15,M1,33,17,0.0,0.0,0.10576281007457927,0.0,0.0
pad,2,0.15,M2,152,107,0.0,0.0,0.02397682090379162,0.0,0.0
pad,2,0.15,M3,66,44,0.0,0.0,0.054358847170121974,0.0,0.0
pad,2,0.15,B,20,17,0.05,0.0012650894979498047,0.24873276277202777,0.0,0.15789473684210525
hiba,3,0.05,M1,12,7,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,3,0.05,M2,127,94,0.0,0.0,0.028628506134387617,0.0,0.0
hiba,3,0.05,M3,11,10,0.0,0.0,0.2849141529181544,0.0,0.0
hiba,3,0.05,B,180,76,0.0,0.0,0.020285204570112986,0.0,0.0
hiba,3,0.1,M1,12,7,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,3,0.1,M2,127,94,0.0,0.0,0.028628506134387617,0.0,0.0
hiba,3,0.1,M3,11,10,0.0,0.0,0.2849141529181544,0.0,0.0
hiba,3,0.1,B,180,76,0.08333333333333333,0.04739156775630353,0.13372033399205266,0.02019387755102041,0.13846387987012987
hiba,3,0.15,M1,12,7,0.08333333333333333,0.0021075932318602286,0.38479616515094406,0.0,0.2727272727272727
hiba,3,0.15,M2,127,94,0.007874015748031496,0.0001993329493211254,0.04308967368200988,0.0,0.025
