cohort,draw,alpha,stratum,n_lesions,n_patients,rate,cp_lo,cp_hi,boot_lo,boot_hi
pad,12,0.05,M1,28,16,0.0,0.0,0.12343611850026381,0.0,0.0
pad,12,0.05,M2,146,101,0.0,0.0,0.024949776111947798,0.0,0.0
pad,12,0.05,M3,69,45,0.0,0.0,0.05205805786307967,0.0,0.0
pad,12,0.05,B,9,7,0.0,0.0,0.3362671168799428,0.0,0.0
pad,12,0.1,M1,28,16,0.0,0.0,0.12343611850026381,0.0,0.0
pad,12,0.1,M2,146,101,0.0,0.0,0.024949776111947798,0.0,0.0
pad,12,0.1,M3,69,45,0.0,0.0,0.05205805786307967,0.0,0.0
pad,12,0.1,B,9,7,0.0,0.0,0.3362671168799428,0.0,0.0
pad,12,0.15,M1,28,16,0.0,0.0,0.12343611850026381,0.0,0.0
pad,12,0.15,M2,146,101,0.0,0.0,0.024949776111947798,0.0,0.0
pad,12,0.15,M3,69,45,0.0,0.0,0.05205805786307967,0.0,0.0
pad,12,0.15,B,9,7,0.2222222222222222,0.02814497347789821,0.600093573716312,0.0,0.46153846153846156
hiba,13,0.05,M1,12,7,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,13,0.05,M2,124,99,0.0,0.0,0.029310881089774928,0.0,0.0
hiba,13,0.05,M3,9,9,0.0,0.0,0.3362671168799428,0.0,0.0
hiba,13,0.05,B,102,72,0.0,0.0,0.035519326657884064,0.0,0.0
hiba,13,0.1,M1,12,7,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,13,0.1,M2,124,99,0.0,0.0,0.029310881089774928,0.0,0.0
hiba,13,0.1,M3,9,9,0.0,0.0,0.3362671168799428,0.0,0.0
hiba,13,0.1,B,102,72,0.0196078431372549,0.0023834845816113046,0.06903921219895646,0.0,0.04740566037735848
hiba,13,0.15,M1,12,7,0.08333333333333333,0.0021075932318602286,0.38479616515094406,0.0,0.25
hiba,13,0.15,M2,124,99,0.016129032258064516,0.001959304156917139,0.057048972138647326,0.0,0.04220374590514171
hiba,13,0.15,M3,9,9,0.0,0.0,0.3362671168799428,0.0,0.0
hiba,13,0.15,B,102,72,0.0784313725490196,0.03446934110516343,0.1487018888882727,0.02082474226804124,0.13888506241928542
pad,13,0.05,M1,26,17,0.0,0.0,0.1322746044977541,0.0,0.0
pad,13,0.05,M2,148,103,0.0,0.0,0.024616801578984306,0.0,0.0
pad,13,0.05,M3,75,46,0.0,0.0,0.047995064055142256,0.0,0.0
pad,13,0.05,B,27,21,0.0,0.0,0.12770286761543234,0.0,0.0
pad,13,0.1,M1,26,17,0.0,0.0,0.1322746044977541,0.0,0.0
pad,13,0.1,M2,148,103,0.0,0.0,0.024616801578984306,0.0,0.0
pad,13,0.1,M3,75,46,0.0,0.0,0.047995064055142256,0.0,0.0
pad,13,0.1,B,27,21,0.037037037037037035,0.0009372570919447077,0.1897056174130446,0.0,0.125
pad,13,0.15,M1,26,17,0.0,0.0,0.1322746044977541,0.0,0.0
pad,13,0.15,M2,148,103,0.0,0.0,0.024616801578984306,0.0,0.0
pad,13,0.15,M3,75,46,0.0,0.0,0.047995064055142256,0.0,0.0
pad,13,0.15,B,27,21,0.1111111111111111,0.023527454380853987,0.291586924273552,0.0,0.25423387096774175
hiba,14,0.05,M1,22,15,0.0,0.0,0.15437251281557457,0.0,0.0
hiba,14,0.05,M2,125,93,0.0,0.0,0.02907983713643152,0.0,0.0
hiba,14,0.05,M3,11,10,0.0,0.0,0.2849141529181544,0.0,0.0
hiba,14,0.05,B,196,71,0.0,0.0,0.018644807949330138,0.0,0.0
hiba,14,0.1,M1,22,15,0.0,0.0,0.15437251281557457,0.0,0.0
hiba,14,0.1,M2,125,93,0.016,0.0019435818023689144,0.05660211961975487,0.0,0.05130771478667444
hiba,14,0.1,M3,11,10,0.0,0.0,0.2849141529181544,0.0,0.0
hiba,14,0.1,B,196,71,0.07653061224489796,0.043464849968666765,0.12308422213295159,0.019316909294512883,0.11483359872611465
hiba,14,0.15,M1,22,15,0.13636363636363635,0.029055851128746688,0.34912209725740806,0.0,0.270833333333333
hiba,14,0.15,M2,125,93,0.016,0.0019435818023689144,0.05660211961975487,0.0,0.052876106194690256
hiba,14,0.15,M3,11,10,0.0,0.0,0.2849141529181544,0.0,0.0
hiba,14,0.15,B,196,71,0.2602040816326531,0.2002884630546764,0.32752670043019216,0.08458784543464111,0.36200152659560303
pad,14,0.05,M1,31,18,0.0,0.0,0.11218874692236996,0.0,0.0
pad,14,0.05,M2,174,118,0.0,0.0,0.020977306694394248,0.0,0.0
pad,14,0.05,M3,69,44,0.0,0.0,0.05205805786307967,0.0,0.0
pad,14,0.05,B,23,20,0.0,0.0,0.14818512891522437,0.0,0.0
pad,14,0.1,M1,31,18,0.0,0.0,0.11218874692236996,0.0,0.0
pad,14,0.1,M2,174,118,0.0,0.0,0.020977306694394248,0.0,0.0
pad,14,0.1,M3,69,44,0.0,0.0,0.05205805786307967,0.0,0.0
pad,14,0.1,B,23,20,0.08695652173913043,0.01070996603787589,0.2803793359094109,0.0,0.21739130434782608
pad,14,0.15,M1,31,18,0.0,0.0,0.11218874692236996,0.0,0.0
pad,14,0.15,M2,174,118,0.0,0.0,0.020977306694394248,0.0,0.0
pad,14,0.15,M3,69,44,0.0,0.0,0.05205805786307967,0.0,0.0
pad,14,0.15,B,23,20,0.08695652173913043,0.01070996603787589,0.2803793359094109,0.0,0.22727272727272727
hiba,15,0.05,M1,20,8,0.0,0.0,0.1684334709830853,0.0,0.0
hiba,15,0.05,M2,127,103,0.0,0.0,0.028628506134387617,0.0,0.0
hiba,15,0.05,M3,16,13,0.0,0.0,0.2059072142078227,0.0,0.0
hiba,15,0.05,B,124,62,0.0,0.0,0.029310881089774928,0.0,0.0
hiba,15,0.1,M1,20,8,0.0,0.0,0.1684334709830853,0.0,0.0
hiba,15,0.1,M2,127,103,0.023622047244094488,0.004898179856560943,0.06748158871353609,0.0,0.06182013358778623
hiba,15,0.1,M3,16,13,0.0,0.0,0.2059072142078227,0.0,0.0
hiba,15,0.1,B,124,62,0.016129032258064516,0.001959304156917139,0.057048972138647326,0.0,0.043478260869565216
hiba,15,0.15,M1,20,8,0.0,0.0,0.1684334709830853,0.0,0.0
hiba,15,0.15,M2,127,103,0.03937007874015748,0.012904955101719977,0.08948514789731273,0.008030645161290323,0.08562106346899223
hiba,15,0.15,M3,16,13,0.0,0.0,0.2059072142078227,0.0,0.0
hiba,15,0.15,B,124,62,0.0967741935483871,0.051011274156026895,0.16294377203371394,0.00994503862150921,0.20376302530630938
pad,15,0.05,M1,15,11,0.0,0.0,0.218019360910534,0.0,0.0
pad,15,0.05,M2,164,112,0.0,0.0,0.022242082203801514,0.0,0.0
pad,15,0.05,M3,68,51,0.0,0.0,0.05280304279363979,0.0,0.0
pad,15,0.05,B,20,17,0.0,0.0,0.1684334709830853,0.0,0.0
pad,15,0.1,M1,15,11,0.0,0.0,0.218019360910534,0.0,0.0
pad,15,0.1,M2,164,112,0.0,0.0,0.022242082203801514,0.0,0.0
pad,15,0.1,M3,68,51,0.0,0.0,0.05280304279363979,0.0,0.0
pad,15,0.1,B,20,17,0.05,0.0012650894979498047,0.24873276277202777,0.0,0.16666666666666666
pad,15,0.15,M1,15,11,0.0,0.0,0.218019360910534,0.0,0.0
pad,15,0.15,M2,164,112,0.0,0.0,0.022242082203801514,0.0,0.0
pad,15,0.15,M3,68,51,0.0,0.0,0.05280304279363979,0.0,0.0
pad,15,0.15,B,20,17,0.1,0.012348527170294813,0.31698271401908235,0.0,0.2631578947368421
hiba,16,0.05,M1,22,11,0.0,0.0,0.15437251281557457,0.0,0.0
hiba,16,0.05,M2,127,95,0.0,0.0,0.028628506134387617,0.0,0.0
hiba,16,0.05,M3,10,10,0.0,0.0,0.3084971078187608,0.0,0.0
hiba,16,0.05,B,216,68,0.0,0.0,0.01693314073693567,0.0,0.0
hiba,16,0.1,M1,22,11,0.0,0.0,0.15437251281557457,0.0,0.0
hiba,16,0.1,M2,127,95,0.007874015748031496,0.0001993329493211254,0.04308967368200988,0.0,0.025322247543085027
hiba,16,0.1,M3,10,10,0.0,0.0,0.3084971078187608,0.0,0.0
hiba,16,0.1,B,216,68,0.0787037037037037,0.046515083378552036,0.12302261061379038,0.04378415300546448,0.13273584905660374
hiba,16,0.15,M1,22,11,0.0,0.0,0.15437251281557457,0.0,0.0
hiba,16,0.15,M2,127,95,0.031496062992125984,0.008647003744955058,0.07867912724282826,0.00754585326953748,0.059491431730237694
hiba,16,0.15,M3,10,10,0.0,0.0,0.3084971078187608,0.0,0.0
hiba,16,0.15,B,216,68,0.16203703703703703,0.11553481868556287,0.21808064754950224,0.08171296296296296,0.22107099296886212
pad,16,0.05,M1,22,14,0.0,0.0,0.15437251281557457,0.0,0.0
pad,16,0.05,M2,142,106,0.0,0.0,0.025643498484463182,0.0,0.0
pad,16,0.05,M3,61,44,0.0,0.0,0.05868122393229261,0.0,0.0
pad,16,0.05,B,26,23,0.0,0.0,0.1322746044977541,0.0,0.0
pad,16,0.1,M1,22,14,0.0,0.0,0.15437251281557457,0.0,0.0
pad,16,0.1,M2,142,106,0.0,0.0,0.025643498484463182,0.0,0.0
pad,16,0.1,M3,61,44,0.0,0.0,0.05868122393229261,0.0,0.0
pad,16,0.1,B,26,23,0.0,0.0,0.1322746044977541,0.0,0.0
pad,16,0.15,M1,22,14,0.0,0.0,0.15437251281557457,0.0,0.0
pad,16,0.15,M2,142,106,0.0,0.0,0.025643498484463182,0.0,0.0
pad,16,0.15,M3,61,44,0.01639344262295082,0.00041495991283974065,0.08798812292274527,0.0,0.06204326923076921
pad,16,0.15,B,26,23,0.0,0.0,0.1322746044977541,0.0,0.0
hiba,17,0.05,M1,16,9,0.0,0.0,0.2059072142078227,0.0,0.0
hiba,17,0.05,M2,113,92,0.0,0.0,0.03211785574573937,0.0,0.0
hiba,17,0.05,M3,12,11,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,17,0.05,B,302,71,0.0,0.0,0.01214053438266115,0.0,0.0
hiba,17,0.1,M1,16,9,0.0,0.0,0.2059072142078227,0.0,0.0
hiba,17,0.1,M2,113,92,0.0,0.0,0.03211785574573937,0.0,0.0
hiba,17,0.1,M3,12,11,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,17,0.1,B,302,71,0.0033112582781456954,8.383028731756196e-05,0.018310113646851665,0.0,0.011721217669947354
hiba,17,0.15,M1,16,9,0.0,0.0,0.2059072142078227,0.0,0.0
hiba,17,0.15,M2,113,92,0.0,0.0,0.03211785574573937,0.0,0.0
hiba,17,0.15,M3,12,11,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,17,0.15,B,302,71,0.076158940397351,0.04888864113533374,0.11208566436420707,0.03773584905660377,0.11554034012260234
pad,17,0.05,M1,28,19,0.0,0.0,0.12343611850026381,0.0,0.0
pad,17,0.05,M2,153,106,0.0,0.0,0.023821991293435516,0.0,0.0
pad,17,0.05,M3,68,44,0.0,0.0,0.05280304279363979,0.0,0.0
pad,17,0.05,B,22,20,0.0,0.0,0.15437251281557457,0.0,0.0
pad,17,0.1,M1,28,19,0.0,0.0,0.12343611850026381,0.0,0.0
pad,17,0.1,M2,153,106,0.0,0.0,0.023821991293435516,0.0,0.0
pad,17,0.1,M3,68,44,0.0,0.0,0.05280304279363979,0.0,0.0
pad,17,0.1,B,22,20,0.0,0.0,0.15437251281557457,0.0,0.0
pad,17,0.15,M1,28,19,0.0,0.0,0.12343611850026381,0.0,0.0
pad,17,0.15,M2,153,106,0.0,0.0,0.023821991293435516,0.0,0.0
pad,17,0.15,M3,68,44,0.0,0.0,0.05280304279363979,0.0,0.0
pad,17,0.15,B,22,20,0.045454545454545456,0.0011501475265735762,0.22844439766763341,0.0,0.14660714285714269
hiba,18,0.05,M1,22,11,0.0,0.0,0.15437251281557457,0.0,0.0
hiba,18,0.05,M2,125,98,0.0,0.0,0.02907983713643152,0.0,0.0
hiba,18,0.05,M3,11,10,0.0,0.0,0.2849141529181544,0.0,0.0
hiba,18,0.05,B,189,68,0.0,0.0,0.019328640067902317,0.0,0.0
hiba,18,0.1,M1,22,11,0.0,0.0,0.15437251281557457,0.0,0.0
hiba,18,0.1,M2,125,98,0.008,0.0002025219535342447,0.04376653637502473,0.0,0.025980134932533726
hiba,18,0.1,M3,11,10,0.0,0.0,0.2849141529181544,0.0,0.0
hiba,18,0.1,B,189,68,0.06878306878306878,0.03712983476467183,0.11474914068499384,0.02554920375663536,0.12640715251321125
hiba,18,0.15,M1,22,11,0.045454545454545456,0.0011501475265735762,0.22844439766763341,0.0,0.15789473684210525
hiba,18,0.15,M2,125,98,0.008,0.0002025219535342447,0.04376653637502473,0.0,0.025537809647979134
hiba,18,0.15,M3,11,10,0.0,0.0,0.2849141529181544,0.0,0.0
hiba,18,0.15,B,189,68,0.2275132275132275,0.16981305019923726,0.2939676767566031,0.0874597099113618,0.3676058922205911
pad,18,0.05,M1,21,14,0.0,0.0,0.1610976152190796,0.0,0.0
pad,18,0.05,M2,173,114,0.0,0.0,0.021097274650684936,0.0,0.0
pad,18,0.05,M3,56,42,0.0,0.0,0.06375009666236217,0.0,0.0
pad,18,0.05,B,18,17,0.05555555555555555,0.0014055561673694233,0.27294359967336845,0.0,0.17647058823529413
pad,18,0.1,M1,21,14,0.0,0.0,0.1610976152190796,0.0,0.0
pad,18,0.1,M2,173,114,0.0,0.0,0.021097274650684936,0.0,0.0
pad,18,0.1,M3,56,42,0.0,0.0,0.06375009666236217,0.0,0.0
pad,18,0.1,B,18,17,0.05555555555555555,0.0014055561673694233,0.27294359967336845,0.0,0.17647058823529413
pad,18,0.15,M1,21,14,0.0,0.0,0.1610976152190796,0.0,0.0
pad,18,0.15,M2,173,114,0.0,0.0,0.021097274650684936,0.0,0.0
pad,18,0.15,M3,56,42,0.0,0.0,0.06375009666236217,0.0,0.0
pad,18,0.15,B,18,17,0.05555555555555555,0.0014055561673694233,0.27294359967336845,0.0,0.17647058823529413
hiba,19,0.05,M1,15,11,0.0,0.0,0.218019360910534,0.0,0.0
hiba,19,0.05,M2,115,91,0.0,0.0,0.03156819598824707,0.0,0.0
hiba,19,0.05,M3,8,8,0.0,0.0,0.3694166475528192,0.0,0.0
hiba,19,0.05,B,136,74,0.0,0.0,0.026759558379143282,0.0,0.0
hiba,19,0.1,M1,15,11,0.0,0.0,0.218019360910534,0.0,0.0
hiba,19,0.1,M2,115,91,0.008695652173913044,0.0002201306197361845,0.047496946884995214,0.0,0.027982068607068568
hiba,19,0.1,M3,8,8,0.0,0.0,0.3694166475528192,0.0,0.0
hiba,19,0.1,B,136,74,0.04411764705882353,0.016360060890745293,0.09355123763060079,0.0,0.0891624913438429
hiba,19,0.15,M1,15,11,0.0,0.0,0.218019360910534,0.0,0.0
hiba,19,0.15,M2,115,91,0.02608695652173913,0.00541240902789705,0.0743462344101989,0.0,0.056
hiba,19,0.15,M3,8,8,0.0,0.0,0.3694166475528192,0.0,0.0
hiba,19,0.15,B,136,74,0.10294117647058823,0.05743181378408759,0.1666843114826838,0.03966103830645162,0.1645109308091052
pad,19,0.05,M1,20,11,0.0,0.0,0.1684334709830853,0.0,0.0
pad,19,0.05,M2,141,104,0.0,0.0,0.025822998663865577,0.0,0.0
pad,19,0.05,M3,81,53,0.0,0.0,0.044520262456321735,0.0,0.0
pad,19,0.05,B,22,18,0.0,0.0,0.15437251281557457,0.0,0.0
pad,19,0.1,M1,20,11,0.0,0.0,0.1684334709830853,0.0,0.0
pad,19,0.1,M2,141,104,0.0,0.0,0.025822998663865577,0.0,0.0
pad,19,0.1,M3,81,53,0.0,0.0,0.044520262456321735,0.0,0.0
pad,19,0.1,B,22,18,0.045454545454545456,0.0011501475265735762,0.22844439766763341,0.0,0.15
pad,19,0.15,M1,20,11,0.0,0.0,0.1684334709830853,0.0,0.0
pad,19,0.15,M2,141,104,0.0,0.0,0.025822998663865577,0.0,0.0
pad,19,0.15,M3,81,53,0.0,0.0,0.044520262456321735,0.0,0.0
pad,19,0.15,B,22,18,0.13636363636363635,0.029055851128746688,0.34912209725740806,0.0,0.30052334943639275
hiba,20,0.05,M1,8,5,0.0,0.0,0.3694166475528192,0.0,0.0
hiba,20,0.05,M2,125,99,0.0,0.0,0.02907983713643152,0.0,0.0
hiba,20,0.05,M3,9,9,0.0,0.0,0.3362671168799428,0.0,0.0
hiba,20,0.05,B,192,76,0.0,0.0,0.01902952216877982,0.0,0.0
hiba,20,0.1,M1,8,5,0.0,0.0,0.3694166475528192,0.0,0.0
hiba,20,0.1,M2,125,99,0.008,0.0002025219535342447,0.04376653637502473,0.0,0.02656249999999999
hiba,20,0.1,M3,9,9,0.0,0.0,0.3362671168799428,0.0,0.0
hiba,20,0.1,B,192,76,0.005208333333333333,0.0001318548896313441,0.02867584185449001,0.0,0.018078388677191068
hiba,20,0.15,M1,8,5,0.0,0.0,0.3694166475528192,0.0,0.0
hiba,20,0.15,M2,125,99,0.016,0.0019435818023689144,0.05660211961975487,0.0,0.04065040650406504
hiba,20,0.15,M3,9,9,0.0,0.0,0.3362671168799428,0.0,0.0
hiba,20,0.15,B,192,76,0.09895833333333333,0.06063727554995105,0.1502186790550737,0.04320494410474955,0.17156543365559757
pad,20,0.05,M1,28,17,0.0,0.0,0.12343611850026381,0.0,0.0
pad,20,0.05,M2,162,117,0.0,0.0,0.022513561452805492,0.0,0.0
pad,20,0.05,M3,56,41,0.0,0.0,0.06375009666236217,0.0,0.0
pad,20,0.05,B,17,13,0.0,0.0,0.19506432296909318,0.0,0.0
pad,20,0.1,M1,28,17,0.0,0.0,0.12343611850026381,0.0,0.0
pad,20,0.1,M2,162,117,0.0,0.0,0.022513561452805492,0.0,0.0
pad,20,0.1,M3,56,41,0.0,0.0,0.06375009666236217,0.0,0.0
pad,20,0.1,B,17,13,0.0,0.0,0.19506432296909318,0.0,0.0
pad,20,0.15,M1,28,17,0.0,0.0,0.12343611850026381,0.0,0.0
pad,20,0.15,M2,162,117,0.0,0.0,0.022513561452805492,0.0,0.0
pad,20,0.15,M3,56,41,0.0,0.0,0.06375009666236217,0.0,0.0
pad,20,0.15,B,17,13,0.0,0.0,0.19506432296909318,0.0,0.0
hiba,21,0.05,M1,16,10,0.0,0.0,0.2059072142078227,0.0,0.0
hiba,21,0.05,M2,119,97,0.0,0.0,0.03052344485379618,0.0,0.0
hiba,21,0.05,M3,18,10,0.0,0.0,0.1853019681378522,0.0,0.0
hiba,21,0.05,B,120,69,0.0,0.0,0.03027297257742007,0.0,0.0
hiba,21,0.1,M1,16,10,0.0,0.0,0.2059072142078227,0.0,0.0
hiba,21,0.1,M2,119,97,0.01680672268907563,0.002041892316239979,0.059393388134475616,0.0,0.05151414677276745
hiba,21,0.1,M3,18,10,0.0,0.0,0.1853019681378522,0.0,0.0
hiba,21,0.1,B,120,69,0.075,0.034867390611962125,0.13760105789036722,0.023752941176470588,0.12797040834682494
hiba,21,0.15,M1,16,10,0.0,0.0,0.2059072142078227,0.0,0.0
hiba,21,0.15,M2,119,97,0.025210084033613446,0.005229407817373738,0.07190798046104246,0.0,0.06900037160906723
hiba,21,0.15,M3,18,10,0.0,0.0,0.1853019681378522,0.0,0.0
hiba,21,0.15,B,120,69,0.175,0.1117143430937466,0.2549800275657284,0.08318733153638815,0.2610752979414951
pad,21,0.05,M1,30,18,0.0,0.0,0.11570330822202779,0.0,0.0
pad,21,0.05,M2,137,100,0.0,0.0,0.026566851096283282,0.0,0.0
pad,21,0.05,M3,73,46,0.0,0.0,0.04927706089585928,0.0,0.0
pad,21,0.05,B,17,15,0.058823529411764705,0.001488174391266636,0.2868893966672207,0.0,0.1875
pad,21,0.1,M1,30,18,0.0,0.0,0.11570330822202779,0.0,0.0
pad,21,0.1,M2,137,100,0.0,0.0,0.026566851096283282,0.0,0.0
pad,21,0.1,M3,73,46,0.0,0.0,0.04927706089585928,0.0,0.0
pad,21,0.1,B,17,15,0.058823529411764705,0.001488174391266636,0.2868893966672207,0.0,0.1875
pad,21,0.15,M1,30,18,0.0,0.0,0.11570330822202779,0.0,0.0
pad,21,0.15,M2,137,100,0.0,0.0,0.026566851096283282,0.0,0.0
pad,21,0.15,M3,73,46,0.0,0.0,0.04927706089585928,0.0,0.0
pad,21,0.15,B,17,15,0.058823529411764705,0.001488174391266636,0.2868893966672207,0.0,0.18906249999999994
hiba,22,0.05,M1,20,11,0.0,0.0,0.1684334709830853,0.0,0.0
hiba,22,0.05,M2,113,87,0.0,0.0,0.03211785574573937,0.0,0.0
hiba,22,0.05,M3,18,12,0.0,0.0,0.1853019681378522,0.0,0.0
hiba,22,0.05,B,184,77,0.0,0.0,0.01984862788420177,0.0,0.0
hiba,22,0.1,M1,20,11,0.0,0.0,0.1684334709830853,0.0,0.0
hiba,22,0.1,M2,113,87,0.0,0.0,0.03211785574573937,0.0,0.0
hiba,22,0.1,M3,18,12,0.0,0.0,0.1853019681378522,0.0,0.0
hiba,22,0.1,B,184,77,0.010869565217391304,0.0013190761213316357,0.03871108027808766,0.0,0.025974025974025976
hiba,22,0.15,M1,20,11,0.0,0.0,0.1684334709830853,0.0,0.0
hiba,22,0.15,M2,113,87,0.008849557522123894,0.00022402630045098988,0.048320648564102286,0.0,0.02765672782874617
hiba,22,0.15,M3,18,12,0.0,0.0,0.1853019681378522,0.0,0.0
hiba,22,0.15,B,184,77,0.07608695652173914,0.04222035293216203,0.12436629677700131,0.030525748215997444,0.148606986053719
pad,22,0.05,M1,38,20,0.0,0.0,0.09251276141587828,0.0,0.0
pad,22,0.05,M2,143,96,0.0,0.0,0.025466476413347372,0.0,0.0
pad,22,0.05,M3,77,50,0.0,0.0,0.046778068160404106,0.0,0.0
pad,22,0.05,B,17,15,0.0,0.0,0.19506432296909318,0.0,0.0
pad,22,0.1,M1,38,20,0.0,0.0,0.09251276141587828,0.0,0.0
pad,22,0.1,M2,143,96,0.0,0.0,0.025466476413347372,0.0,0.0
pad,22,0.1,M3,77,50,0.0,0.0,0.046778068160404106,0.0,0.0
pad,22,0.1,B,17,15,0.058823529411764705,0.001488174391266636,0.2868893966672207,0.0,0.1875
pad,22,0.15,M1,38,20,0.0,0.0,0.09251276141587828,0.0,0.0
pad,22,0.15,M2,143,96,0.0,0.0,0.025466476413347372,0.0,0.0
pad,22,0.15,M3,77,50,0.0,0.0,0.046778068160404106,0.0,0.0
pad,22,0.15,B,17,15,0.058823529411764705,0.001488174391266636,0.2868893966672207,0.0,0.1875
hiba,23,0.05,M1,19,9,0.0,0.0,0.17646691180696533,0.0,0.0
hiba,23,0.05,M2,112,92,0.0,0.0,0.03239992593135989,0.0,0.0
hiba,23,0.05,M3,8,7,0.0,0.0,0.3694166475528192,0.0,0.0
hiba,23,0.05,B,137,77,0.0,0.0,0.026566851096283282,0.0,0.0
hiba,23,0.1,M1,19,9,0.0,0.0,0.17646691180696533,0.0,0.0
hiba,23,0.1,M2,112,92,0.0,0.0,0.03239992593135989,0.0,0.0
hiba,23,0.1,M3,8,7,0.0,0.0,0.3694166475528192,0.0,0.0
hiba,23,0.1,B,137,77,0.014598540145985401,0.0017728664269936643,0.05173889758210789,0.0,0.03391904937023075
hiba,23,0.15,M1,19,9,0.0,0.0,0.17646691180696533,0.0,0.0
hiba,23,0.15,M2,112,92,0.008928571428571428,0.0002260263092066397,0.04874330473012579,0.0,0.02717275557011794
hiba,23,0.15,M3,8,7,0.0,0.0,0.3694166475528192,0.0,0.0
hiba,23,0.15,B,137,77,0.072992700729927,0.03555631049762681,0.13013934691493412,0.02082608695652174,0.13716097560975604
pad,23,0.05,M1,26,14,0.0,0.0,0.1322746044977541,0.0,0.0
pad,23,0.05,M2,149,104,0.0,0.0,0.024453624905590006,0.0,0.0
pad,23,0.05,M3,65,41,0.0,0.0,0.055171634318813376,0.0,0.0
pad,23,0.05,B,14,13,0.0,0.0,0.23163576165011648,0.0,0.0
pad,23,0.1,M1,26,14,0.0,0.0,0.1322746044977541,0.0,0.0
pad,23,0.1,M2,149,104,0.0,0.0,0.024453624905590006,0.0,0.0
pad,23,0.1,M3,65,41,0.0,0.0,0.055171634318813376,0.0,0.0
pad,23,0.1,B,14,13,0.0,0.0,0.23163576165011648,0.0,0.0
pad,23,0.15,M1,26,14,0.0,0.0,0.1322746044977541,0.0,0.0
pad,23,0.15,M2,149,104,0.0,0.0,0.024453624905590006,0.0,0.0
pad,23,0.15,M3,65,41,0.0,0.0,0.055171634318813376,0.0,0.0
pad,23,0.15,B,14,13,0.0,0.0,0.23163576165011648,0.0,0.0
hiba,24,0.05,M1,12,9,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,24,0.05,M2,112,89,0.0,0.0,0.03239992593135989,0.0,0.0
hiba,24,0.05,M3,11,10,0.0,0.0,0.2849141529181544,0.0,0.0
hiba,24,0.05,B,168,75,0.0,0.0,0.021718302138675937,0.0,0.0
hiba,24,0.1,M1,12,9,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,24,0.1,M2,112,89,0.026785714285714284,0.005558292065040165,0.07628622472576431,0.0,0.07021161985378989
hiba,24,0.1,M3,11,10,0.0,0.0,0.2849141529181544,0.0,0.0
hiba,24,0.1,B,168,75,0.07142857142857142,0.037450812260858474,0.12144677063287315,0.022468017057569296,0.11985328185328184
hiba,24,0.15,M1,12,9,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,24,0.15,M2,112,89,0.05357142857142857,0.019910945394111094,0.1129596592043204,0.00947663971248877,0.10429245283018866
hiba,24,0.15,M3,11,10,0.0,0.0,0.2849141529181544,0.0,0.0
hiba,24,0.15,B,168,75,0.125,0.0790693866695085,0.18471016609105637,0.06320231213872833,0.1834004024144869
pad,24,0.05,M1,27,13,0.0,0.0,0.12770286761543234,0.0,0.0
pad,24,0.05,M2,145,104,0.0,0.0,0.025119664131802152,0.0,0.0
pad,24,0.05,M3,82,52,0.0,0.0,0.04398945418684236,0.0,0.0
pad,24,0.05,B,22,19,0.0,0.0,0.15437251281557457,0.0,0.0
pad,24,0.1,M1,27,13,0.0,0.0,0.12770286761543234,0.0,0.0
pad,24,0.1,M2,145,104,0.0,0.0,0.025119664131802152,0.0,0.0
pad,24,0.1,M3,82,52,0.0,0.0,0.04398945418684236,0.0,0.0
pad,24,0.1,B,22,19,0.045454545454545456,0.0011501475265735762,0.22844439766763341,0.0,0.15
pad,24,0.15,M1,27,13,0.0,0.0,0.12770286761543234,0.0,0.0
pad,24,0.15,M2,145,104,0.0,0.0,0.025119664131802152,0.0,0.0
pad,24,0.15,M3,82,52,0.0,0.0,0.04398945418684236,0.0,0.0
pad,24,0.15,B,22,19,0.045454545454545456,0.0011501475265735762,0.22844439766763341,0.0,0.15
hiba,25,0.05,M1,14,9,0.0,0.0,0.23163576165011648,0.0,0.0
hiba,25,0.05,M2,110,91,0.0,0.0,0.032979194032219696,0.0,0.0
hiba,25,0.05,M3,9,8,0.0,0.0,0.3362671168799428,0.0,0.0
hiba,25,0.05,B,189,76,0.0,0.0,0.019328640067902317,0.0,0.0
hiba,25,0.1,M1,14,9,0.0,0.0,0.23163576165011648,0.0,0.0
hiba,25,0.1,M2,110,91,0.00909090909090909,0.00023013540555029267,0.04961118931198478,0.0,0.026785714285714284
hiba,25,0.1,M3,9,8,0.0,0.0,0.3362671168799428,0.0,0.0
hiba,25,0.1,B,189,76,0.010582010582010581,0.0012841095697442842,0.037701135682956216,0.0,0.023009920634920626
hiba,25,0.15,M1,14,9,0.0,0.0,0.23163576165011648,0.0,0.0
hiba,25,0.15,M2,110,91,0.03636363636363636,0.009995204344104112,0.09049204996520153,0.0,0.08812684365781709
hiba,25,0.15,M3,9,8,0.0,0.0,0.3362671168799428,0.0,0.0
