cohort,head,draw,alpha,stratum,degenerate,coverage,miss_rate,referral,set_size,n_test
pad,pad_only,1,0.15,M1,False,0.9047619047619048,0.0,1.0,3.0476190476190474,21
pad,pad_only,1,0.15,M2,False,0.88,0.0,1.0,2.8866666666666667,150
pad,pad_only,1,0.15,M3,False,0.8133333333333334,0.02666666666666667,0.9733333333333334,2.52,75
pad,pad_only,1,0.15,B,False,1.0,,0.95,2.85,20
pad,primary,1,0.15,M1,False,0.9047619047619048,0.0,1.0,2.9523809523809526,21
pad,primary,1,0.15,M2,False,0.86,0.0,1.0,2.8066666666666666,150
pad,primary,1,0.15,M3,False,0.8133333333333334,0.0,1.0,2.6533333333333333,75
pad,primary,1,0.15,B,False,0.85,,1.0,3.25,20
hiba,pad_only,1,0.05,M1,False,1.0,0.0,1.0,7.315789473684211,19
hiba,pad_only,1,0.05,M2,False,1.0,0.0,1.0,7.40566037735849,106
hiba,pad_only,1,0.05,M3,False,0.9090909090909091,0.0,1.0,6.636363636363637,11
hiba,pad_only,1,0.05,B,False,0.9906103286384976,,1.0,7.427230046948357,213
hiba,primary,1,0.05,M1,False,1.0,0.0,1.0,6.157894736842105,19
hiba,primary,1,0.05,M2,False,0.9811320754716981,0.0,1.0,6.764150943396227,106
hiba,primary,1,0.05,M3,False,1.0,0.0,1.0,6.454545454545454,11
hiba,primary,1,0.05,B,False,0.9953051643192489,,1.0,6.051643192488263,213
hiba,pad_only,1,0.1,M1,False,1.0,0.0,1.0,7.2105263157894735,19
hiba,pad_only,1,0.1,M2,False,0.9150943396226415,0.0,1.0,6.613207547169812,106
hiba,pad_only,1,0.1,M3,False,0.8181818181818182,0.0,1.0,5.545454545454546,11
hiba,pad_only,1,0.1,B,False,0.9906103286384976,,1.0,6.169014084507042,213
hiba,primary,1,0.1,M1,False,1.0,0.0,1.0,4.526315789473684,19
hiba,primary,1,0.1,M2,False,0.9339622641509434,0.0,1.0,4.9245283018867925,106
hiba,primary,1,0.1,M3,False,0.8181818181818182,0.0,1.0,3.909090909090909,11
hiba,primary,1,0.1,B,False,0.9577464788732394,,0.9577464788732394,3.9342723004694835,213
hiba,pad_only,1,0.15,M1,False,0.9473684210526315,0.0,1.0,5.368421052631579,19
hiba,pad_only,1,0.15,M2,False,0.8679245283018868,0.0,1.0,5.0754716981132075,106
hiba,pad_only,1,0.15,M3,False,0.8181818181818182,0.0,1.0,3.909090909090909,11
hiba,pad_only,1,0.15,B,False,0.9436619718309859,,0.9953051643192489,4.704225352112676,213
hiba,primary,1,0.15,M1,False,1.0,0.0,1.0,3.9473684210526314,19
hiba,primary,1,0.15,M2,False,0.8679245283018868,0.018867924528301886,0.9811320754716981,3.9716981132075473,106
