variant,draw,alpha,modality,n,n_mal,coverage,set_size,miss,release,referral
averaged,1,0.1,all,349,136,0.9484240687679083,4.26647564469914,0.0,0.04225352112676056,0.9742120343839542
derm_only_for_mixed,1,0.1,derm,244,72,0.9508196721311475,3.8688524590163933,0.013888888888888888,0.0872093023255814,0.9344262295081968
derm_only_for_mixed,1,0.1,clin,21,14,0.8571428571428571,3.5238095238095237,0.0,0.0,1.0
derm_only_for_mixed,1,0.1,both,84,50,0.9523809523809523,4.380952380952381,0.0,0.029411764705882353,0.9880952380952381
derm_only_for_mixed,1,0.1,all,349,136,0.9455587392550143,3.9713467048710602,0.007352941176470588,0.07511737089201878,0.9512893982808023
averaged,1,0.15,derm,244,72,0.9426229508196722,3.569672131147541,0.013888888888888888,0.11627906976744186,0.9139344262295082
averaged,1,0.15,clin,21,14,0.8095238095238095,3.0952380952380953,0.0,0.0,1.0
averaged,1,0.15,both,84,50,0.8809523809523809,3.6666666666666665,0.02,0.0,0.9880952380952381
averaged,1,0.15,all,349,136,0.9197707736389685,3.5644699140401146,0.014705882352941176,0.09389671361502347,0.9369627507163324
derm_only_for_mixed,1,0.15,derm,244,72,0.9344262295081968,3.2049180327868854,0.013888888888888888,0.18023255813953487,0.8688524590163934
derm_only_for_mixed,1,0.15,clin,21,14,0.7619047619047619,2.9047619047619047,0.0,0.0,1.0
derm_only_for_mixed,1,0.15,both,84,50,0.8690476190476191,3.642857142857143,0.0,0.058823529411764705,0.9761904761904762
derm_only_for_mixed,1,0.15,all,349,136,0.9083094555873925,3.292263610315186,0.007352941176470588,0.15492957746478872,0.9025787965616046
averaged,2,0.05,derm,213,88,0.9812206572769953,5.732394366197183,0.0,0.0,1.0
averaged,2,0.05,clin,13,7,1.0,5.615384615384615,0.0,0.0,1.0
averaged,2,0.05,both,89,56,0.9101123595505618,6.179775280898877,0.0,0.0,1.0
averaged,2,0.05,all,315,151,0.9619047619047619,5.853968253968254,0.0,0.0,1.0
derm_only_for_mixed,2,0.05,derm,213,88,0.9812206572769953,5.122065727699531,0.0,0.0,1.0
derm_only_for_mixed,2,0.05,clin,13,7,0.9230769230769231,4.461538461538462,0.0,0.0,1.0
derm_only_for_mixed,2,0.05,both,89,56,0.9887640449438202,5.898876404494382,0.0,0.0,1.0
derm_only_for_mixed,2,0.05,all,315,151,0.9809523809523809,5.314285714285714,0.0,0.0,1.0
averaged,2,0.1,derm,213,88,0.9624413145539906,4.093896713615023,0.011363636363636364,0.048,0.9671361502347418
averaged,2,0.1,clin,13,7,0.9230769230769231,3.769230769230769,0.0,0.0,1.0
averaged,2,0.1,both,89,56,0.8764044943820225,4.415730337078652,0.0,0.0,1.0
averaged,2,0.1,all,315,151,0.9365079365079365,4.171428571428572,0.006622516556291391,0.036585365853658534,0.9777777777777777
derm_only_for_mixed,2,0.1,derm,213,88,0.9624413145539906,3.967136150234742,0.011363636363636364,0.072,0.9530516431924883
derm_only_for_mixed,2,0.1,clin,13,7,0.9230769230769231,3.769230769230769,0.0,0.0,1.0
derm_only_for_mixed,2,0.1,both,89,56,0.9213483146067416,4.606741573033708,0.03571428571428571,0.0,0.9775280898876404
derm_only_for_mixed,2,0.1,all,315,151,0.9492063492063492,4.13968253968254,0.019867549668874173,0.054878048780487805,0.9619047619047619
averaged,2,0.15,derm,213,88,0.9483568075117371,3.5258215962441315,0.011363636363636364,0.12,0.9248826291079812
averaged,2,0.15,clin,13,7,0.9230769230769231,3.1538461538461537,0.0,0.0,1.0
averaged,2,0.15,both,89,56,0.8539325842696629,3.7865168539325844,0.017857142857142856,0.0,0.9887640449438202
averaged,2,0.15,all,315,151,0.9206349206349206,3.5841269841269843,0.013245033112582781,0.09146341463414634,0.946031746031746
derm_only_for_mixed,2,0.15,derm,213,88,0.9154929577464789,3.164319248826291,0.022727272727272728,0.24,0.8497652582159625
derm_only_for_mixed,2,0.15,clin,13,7,0.8461538461538461,2.923076923076923,0.0,0.0,1.0
derm_only_for_mixed,2,0.15,both,89,56,0.8539325842696629,3.7191011235955056,0.0,0.06060606060606061,0.9775280898876404
derm_only_for_mixed,2,0.15,all,315,151,0.8952380952380953,3.311111111111111,0.013245033112582781,0.1951219512195122,0.8920634920634921
averaged,3,0.05,derm,225,84,0.9511111111111111,5.586666666666667,0.0,0.0,1.0
averaged,3,0.05,clin,12,5,0.75,4.833333333333333,0.0,0.0,1.0
averaged,3,0.05,both,93,61,0.9247311827956989,5.440860215053763,0.0,0.0,1.0
averaged,3,0.05,all,330,150,0.9363636363636364,5.5181818181818185,0.0,0.0,1.0
derm_only_for_mixed,3,0.05,derm,225,84,0.9333333333333333,4.533333333333333,0.0,0.05673758865248227,0.9644444444444444
derm_only_for_mixed,3,0.05,clin,12,5,0.6666666666666666,4.0,0.0,0.0,1.0
