cohort,draw,alpha,stratum,n_cal,degenerate,coverage,coverage_pw,miss_rate,referral,referral_pw,set_size,n_test
pad,1,0.15,B,25,False,0.9333333333333333,0.9285714285714286,,1.0,1.0,3.8,15
pad,1,0.15,M1,25,False,0.92,0.961111111111111,0.0,1.0,1.0,4.4,25
pad,1,0.15,M2,152,False,0.8392857142857143,0.8461538461538461,0.0,1.0,1.0,4.416666666666667,168
pad,1,0.15,M3,73,False,0.9411764705882353,0.9361702127659575,0.0,1.0,1.0,4.735294117647059,68
pad,1,0.15,M4,6,False,0.6428571428571429,0.712121212121212,0.0,1.0,1.0,4.642857142857143,14
pad,1,0.15,M5,2,True,1.0,1.0,0.0,1.0,1.0,6.0,4
hiba,2,0.05,B,169,False,0.9817073170731707,0.9710144927536232,,1.0,1.0,6.176829268292683,164
hiba,2,0.05,M1,29,False,1.0,1.0,0.0,1.0,1.0,7.0,11
hiba,2,0.05,M2,223,False,0.967741935483871,0.9565217391304348,0.0,1.0,1.0,6.709677419354839,124
hiba,2,0.05,M3,20,False,0.9375,0.9285714285714286,0.0,1.0,1.0,6.625,16
hiba,2,0.1,B,169,False,0.9695121951219512,0.9420289855072463,,0.9878048780487805,0.9988851727982162,4.2682926829268295,164
hiba,2,0.1,M1,29,False,0.8181818181818182,0.7,0.0,1.0,1.0,4.7272727272727275,11
hiba,2,0.1,M2,223,False,0.9274193548387096,0.9239130434782609,0.0,1.0,1.0,5.395161290322581,124
hiba,2,0.1,M3,20,False,0.75,0.7142857142857143,0.0,1.0,1.0,4.6875,16
hiba,2,0.15,B,169,False,0.9451219512195121,0.9142512077294687,,0.926829268292683,0.9869936826458565,3.6463414634146343,164
hiba,2,0.15,M1,29,False,0.8181818181818182,0.7,0.0,1.0,1.0,4.2727272727272725,11
hiba,2,0.15,M2,223,False,0.9112903225806451,0.9021739130434783,0.0,1.0,1.0,4.919354838709677,124
hiba,2,0.15,M3,20,False,0.6875,0.6785714285714286,0.0,1.0,1.0,3.5625,16
pad,2,0.05,B,26,False,0.9375,0.9230769230769231,,1.0,1.0,5.1875,16
pad,2,0.05,M1,24,False,1.0,1.0,0.0,1.0,1.0,5.655172413793103,29
pad,2,0.05,M2,153,False,0.898876404494382,0.9094827586206896,0.0,1.0,1.0,5.219101123595506,178
pad,2,0.05,M3,74,False,0.9861111111111112,0.9782608695652174,0.0,1.0,1.0,5.708333333333333,72
pad,2,0.05,M4,10,True,1.0,1.0,0.0,1.0,1.0,6.142857142857143,7
pad,2,0.05,M5,3,True,1.0,1.0,0.0,1.0,1.0,6.0,2
pad,2,0.1,B,26,False,0.875,0.8461538461538461,,1.0,1.0,4.375,16
pad,2,0.1,M1,24,False,1.0,1.0,0.0,1.0,1.0,5.241379310344827,29
pad,2,0.1,M2,153,False,0.8651685393258427,0.8814655172413793,0.0,1.0,1.0,4.522471910112359,178
pad,2,0.1,M3,74,False,0.9027777777777778,0.9021739130434783,0.0,1.0,1.0,4.736111111111111,72
pad,2,0.1,M4,10,False,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,4.857142857142857,7
pad,2,0.1,M5,3,True,1.0,1.0,0.0,1.0,1.0,6.0,2
pad,2,0.15,B,26,False,0.8125,0.7692307692307693,,1.0,1.0,4.1875,16
pad,2,0.15,M1,24,False,1.0,1.0,0.0,1.0,1.0,4.9655172413793105,29
pad,2,0.15,M2,153,False,0.797752808988764,0.8089080459770115,0.0,1.0,1.0,4.073033707865169,178
pad,2,0.15,M3,74,False,0.8888888888888888,0.8804347826086957,0.0,1.0,1.0,4.402777777777778,72
pad,2,0.15,M4,10,False,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,4.571428571428571,7
pad,2,0.15,M5,3,True,1.0,1.0,0.0,1.0,1.0,5.5,2
hiba,3,0.05,B,162,False,0.9333333333333333,0.8848684210526315,,1.0,1.0,5.377777777777778,180
hiba,3,0.05,M1,27,False,0.9166666666666666,0.8571428571428571,0.0,1.0,1.0,5.0,12
hiba,3,0.05,M2,221,False,0.9212598425196851,0.9228723404255319,0.0,1.0,1.0,5.7952755905511815,127
hiba,3,0.05,M3,24,False,1.0,1.0,0.0,1.0,1.0,6.090909090909091,11
hiba,3,0.1,B,162,False,0.8944444444444445,0.8234649122807017,,1.0,1.0,4.305555555555555,180
hiba,3,0.1,M1,27,False,0.9166666666666666,0.8571428571428571,0.0,1.0,1.0,4.0,12
hiba,3,0.1,M2,221,False,0.8503937007874016,0.8528368794326242,0.0,1.0,1.0,4.913385826771654,127
hiba,3,0.1,M3,24,False,1.0,1.0,0.0,1.0,1.0,4.909090909090909,11
hiba,3,0.15,B,162,False,0.8611111111111112,0.7761322140192108,,0.9777777777777777,0.9879385964912281,3.6055555555555556,180
hiba,3,0.15,M1,27,False,0.9166666666666666,0.8571428571428571,0.0,1.0,1.0,3.1666666666666665,12
hiba,3,0.15,M2,221,False,0.8267716535433071,0.8427304964539007,0.0,1.0,1.0,4.181102362204724,127
hiba,3,0.15,M3,24,False,1.0,1.0,0.0,1.0,1.0,4.545454545454546,11
pad,3,0.05,B,19,False,1.0,1.0,,1.0,1.0,5.916666666666667,24
pad,3,0.05,M1,26,False,1.0,1.0,0.0,1.0,1.0,5.590909090909091,22
