cohort,draw,alpha,stratum,coverage,n_test,referral
pad,1,0.15,cov-BCC,0.8982035928143712,167,
pad,1,0.15,sens-BCC,,167,0.9940119760479041
pad,1,0.15,cov-AK,0.8676470588235294,68,
pad,1,0.15,sens-AK,,68,1.0
pad,1,0.15,cov-BKL,1.0,8,
pad,1,0.15,cov-SCC,0.8181818181818182,33,
pad,1,0.15,sens-SCC,,33,0.9696969696969697
hiba,2,0.05,cov-MEL,0.9777777777777777,45,
hiba,2,0.05,sens-MEL,,45,1.0
hiba,2,0.05,cov-NV,1.0,128,
hiba,2,0.05,cov-BCC,0.984375,64,
hiba,2,0.05,sens-BCC,,64,1.0
hiba,2,0.05,cov-AK,0.9166666666666666,12,
hiba,2,0.05,sens-AK,,12,1.0
hiba,2,0.05,cov-BKL,1.0,17,
hiba,2,0.05,cov-DF,1.0,10,
hiba,2,0.05,cov-VASC,1.0,9,
hiba,2,0.05,cov-SCC,0.7666666666666667,30,
hiba,2,0.05,sens-SCC,,30,1.0
hiba,2,0.1,cov-MEL,0.9333333333333333,45,
hiba,2,0.1,sens-MEL,,45,1.0
hiba,2,0.1,cov-NV,1.0,128,
hiba,2,0.1,cov-BCC,0.953125,64,
hiba,2,0.1,sens-BCC,,64,1.0
hiba,2,0.1,cov-AK,0.9166666666666666,12,
hiba,2,0.1,sens-AK,,12,1.0
hiba,2,0.1,cov-BKL,1.0,17,
hiba,2,0.1,cov-DF,0.8,10,
hiba,2,0.1,cov-VASC,0.8888888888888888,9,
hiba,2,0.1,cov-SCC,0.7666666666666667,30,
hiba,2,0.1,sens-SCC,,30,1.0
hiba,2,0.15,cov-MEL,0.9111111111111111,45,
hiba,2,0.15,sens-MEL,,45,0.9777777777777777
hiba,2,0.15,cov-NV,1.0,128,
hiba,2,0.15,cov-BCC,0.9375,64,
hiba,2,0.15,sens-BCC,,64,1.0
hiba,2,0.15,cov-AK,0.9166666666666666,12,
hiba,2,0.15,sens-AK,,12,1.0
