cohort,draw,alpha,stratum,n_cal,degenerate,coverage,coverage_pw,miss_rate,referral,referral_pw,set_size,n_test,n_test_pat
pad,0,0.15,marginal-M4,299,False,1.0,,0.0,1.0,,2.8181818181818183,11,
pad,0,0.15,marginal-M5,299,False,1.0,,0.0,1.0,,3.0,1,
hiba,1,0.05,B,161,False,0.9859154929577465,0.961038961038961,,1.0,1.0,5.845070422535211,213,77.0
hiba,1,0.05,M1,20,False,1.0,1.0,0.0,1.0,1.0,6.0,19,14.0
hiba,1,0.05,M2,230,False,0.9811320754716981,0.9823529411764705,0.0,1.0,1.0,6.386792452830188,106,85.0
hiba,1,0.05,M3,24,False,1.0,1.0,0.0,1.0,1.0,6.363636363636363,11,10.0
hiba,1,0.05,marginal-M1,396,False,1.0,,0.0,1.0,,6.2105263157894735,19,
hiba,1,0.05,marginal-M2,396,False,0.9905660377358491,,0.0,1.0,,6.0,106,
hiba,1,0.05,marginal-M3,396,False,1.0,,0.0,1.0,,6.181818181818182,11,
hiba,1,0.1,B,161,False,0.9577464788732394,0.8961038961038961,,0.9577464788732394,0.9755577755577756,3.9342723004694835,213,77.0
hiba,1,0.1,M1,20,False,1.0,1.0,0.0,1.0,1.0,4.526315789473684,19,14.0
hiba,1,0.1,M2,230,False,0.9339622641509434,0.9441176470588235,0.0,1.0,1.0,4.9245283018867925,106,85.0
hiba,1,0.1,M3,24,False,0.8181818181818182,0.8,0.0,1.0,1.0,3.909090909090909,11,10.0
hiba,1,0.1,marginal-M1,396,False,1.0,,0.0,1.0,,4.526315789473684,19,
hiba,1,0.1,marginal-M2,396,False,0.9528301886792453,,0.0,1.0,,4.830188679245283,106,
hiba,1,0.1,marginal-M3,396,False,1.0,,0.0,1.0,,5.090909090909091,11,
hiba,1,0.15,B,161,False,0.9436619718309859,0.8668831168831169,,0.9061032863849765,0.9324342324342323,3.323943661971831,213,77.0
hiba,1,0.15,M1,20,False,1.0,1.0,0.0,1.0,1.0,3.9473684210526314,19,14.0
hiba,1,0.15,M2,230,False,0.8679245283018868,0.8790196078431373,0.018867924528301886,0.9811320754716981,0.9764705882352941,3.9716981132075473,106,85.0
hiba,1,0.15,M3,24,False,0.8181818181818182,0.8,0.0,1.0,1.0,3.6363636363636362,11,10.0
hiba,1,0.15,marginal-M1,396,False,1.0,,0.0,1.0,,3.5789473684210527,19,
hiba,1,0.15,marginal-M2,396,False,0.9056603773584906,,0.009433962264150943,0.9905660377358491,,3.849056603773585,106,
hiba,1,0.15,marginal-M3,396,False,0.9090909090909091,,0.0,1.0,,4.0,11,
pad,1,0.05,B,22,False,0.95,0.9411764705882353,,1.0,1.0,4.4,20,17.0
pad,1,0.05,M1,27,False,1.0,1.0,0.0,1.0,1.0,4.476190476190476,21,13.0
pad,1,0.05,M2,170,False,0.96,0.9629629629629629,0.0,1.0,1.0,4.013333333333334,150,99.0
pad,1,0.05,M3,72,False,0.96,0.9479166666666666,0.0,1.0,1.0,3.8133333333333335,75,48.0
pad,1,0.05,M4,8,True,1.0,1.0,0.0,1.0,1.0,5.2727272727272725,11,9.0
pad,1,0.05,M5,3,True,1.0,1.0,0.0,1.0,1.0,4.666666666666667,3,2.0
pad,1,0.05,marginal-M1,294,False,0.9047619047619048,,0.0,1.0,,4.0,21,
pad,1,0.05,marginal-M2,294,False,0.9333333333333333,,0.0,1.0,,3.8466666666666667,150,
pad,1,0.05,marginal-M3,294,False,0.96,,0.0,1.0,,3.7866666666666666,75,
pad,1,0.05,marginal-M4,294,False,1.0,,0.0,1.0,,4.454545454545454,11,
pad,1,0.05,marginal-M5,294,False,1.0,,0.0,1.0,,3.0,3,
pad,1,0.1,B,22,False,0.95,0.9411764705882353,,1.0,1.0,3.85,20,17.0
pad,1,0.1,M1,27,False,1.0,1.0,0.0,1.0,1.0,3.761904761904762,21,13.0
pad,1,0.1,M2,170,False,0.92,0.9141414141414141,0.0,1.0,1.0,3.22,150,99.0
pad,1,0.1,M3,72,False,0.8666666666666667,0.857638888888889,0.0,1.0,1.0,2.973333333333333,75,48.0
pad,1,0.1,M4,8,True,1.0,1.0,0.0,1.0,1.0,4.636363636363637,11,9.0
pad,1,0.1,M5,3,True,1.0,1.0,0.0,1.0,1.0,4.0,3,2.0
pad,1,0.1,marginal-M1,294,False,0.9047619047619048,,0.0,1.0,,3.238095238095238,21,
pad,1,0.1,marginal-M2,294,False,0.88,,0.0,1.0,,3.2133333333333334,150,
pad,1,0.1,marginal-M3,294,False,0.8933333333333333,,0.0,1.0,,3.3066666666666666,75,
pad,1,0.1,marginal-M4,294,False,1.0,,0.0,1.0,,3.727272727272727,11,
pad,1,0.1,marginal-M5,294,False,0.6666666666666666,,0.0,1.0,,2.0,3,
pad,1,0.15,B,22,False,0.85,0.8235294117647058,,1.0,1.0,3.25,20,17.0
pad,1,0.15,M1,27,False,0.9047619047619048,0.8974358974358974,0.0,1.0,1.0,2.9523809523809526,21,13.0
pad,1,0.15,M2,170,False,0.86,0.8653198653198653,0.0,1.0,1.0,2.8066666666666666,150,99.0
pad,1,0.15,M3,72,False,0.8133333333333334,0.8003472222222223,0.0,1.0,1.0,2.6533333333333333,75,48.0
pad,1,0.15,M4,8,False,1.0,1.0,0.0,1.0,1.0,4.090909090909091,11,9.0
pad,1,0.15,M5,3,True,1.0,1.0,0.0,1.0,1.0,4.0,3,2.0
pad,1,0.15,marginal-M1,294,False,0.8571428571428571,,0.0,1.0,,2.857142857142857,21,
pad,1,0.15,marginal-M2,294,False,0.8266666666666667,,0.0,1.0,,2.8466666666666667,150,
pad,1,0.15,marginal-M3,294,False,0.84,,0.0,1.0,,2.9066666666666667,75,
pad,1,0.15,marginal-M4,294,False,1.0,,0.0,1.0,,3.090909090909091,11,
pad,1,0.15,marginal-M5,294,False,0.6666666666666666,,0.0,1.0,,1.3333333333333333,3,
hiba,2,0.05,B,169,False,0.9878048780487805,0.9710144927536232,,1.0,1.0,5.2682926829268295,164,69.0
hiba,2,0.05,M1,29,False,1.0,1.0,0.0,1.0,1.0,7.090909090909091,11,5.0
hiba,2,0.05,M2,223,False,0.9516129032258065,0.9483695652173914,0.0,1.0,1.0,6.596774193548387,124,92.0
hiba,2,0.05,M3,20,False,0.75,0.75,0.0,1.0,1.0,5.1875,16,14.0
hiba,2,0.05,marginal-M1,396,False,1.0,,0.0,1.0,,6.909090909090909,11,
hiba,2,0.05,marginal-M2,396,False,0.967741935483871,,0.0,1.0,,6.290322580645161,124,
hiba,2,0.05,marginal-M3,396,False,1.0,,0.0,1.0,,6.5625,16,
hiba,2,0.1,B,169,False,0.9634146341463414,0.9371980676328503,,0.9634146341463414,0.9949461166852471,3.6036585365853657,164,69.0
hiba,2,0.1,M1,29,False,0.8181818181818182,0.9,0.0,1.0,1.0,4.7272727272727275,11,5.0
hiba,2,0.1,M2,223,False,0.9354838709677419,0.9320652173913043,0.008064516129032258,0.9919354838709677,0.9945652173913043,4.870967741935484,124,92.0
hiba,2,0.1,M3,20,False,0.75,0.75,0.0,1.0,1.0,4.1875,16,14.0
hiba,2,0.1,marginal-M1,396,False,1.0,,0.0,1.0,,5.545454545454546,11,
hiba,2,0.1,marginal-M2,396,False,0.9516129032258065,,0.0,1.0,,5.008064516129032,124,
hiba,2,0.1,marginal-M3,396,False,0.9375,,0.0,1.0,,5.125,16,
hiba,2,0.15,B,169,False,0.9573170731707317,0.9227053140096619,,0.9085365853658537,0.9565589000371609,3.048780487804878,164,69.0
hiba,2,0.15,M1,29,False,0.8181818181818182,0.9,0.0,1.0,1.0,4.545454545454546,11,5.0
hiba,2,0.15,M2,223,False,0.9112903225806451,0.9103260869565217,0.016129032258064516,0.9838709677419355,0.9918478260869565,4.185483870967742,124,92.0
hiba,2,0.15,M3,20,False,0.6875,0.7142857142857143,0.0,1.0,1.0,3.75,16,14.0
hiba,2,0.15,marginal-M1,396,False,0.9090909090909091,,0.0,1.0,,4.090909090909091,11,
hiba,2,0.15,marginal-M2,396,False,0.9274193548387096,,0.016129032258064516,0.9838709677419355,,3.9919354838709675,124,
hiba,2,0.15,marginal-M3,396,False,0.8125,,0.0,1.0,,4.0625,16,
pad,2,0.05,B,22,False,0.9,0.8823529411764706,,0.95,0.9411764705882353,3.5,20,17.0
pad,2,0.05,M1,23,False,0.9696969696969697,0.9705882352941176,0.0,1.0,1.0,3.606060606060606,33,17.0
pad,2,0.05,M2,162,False,0.8947368421052632,0.8909657320872274,0.0,1.0,1.0,3.2697368421052633,152,107.0
pad,2,0.05,M3,76,False,0.9242424242424242,0.912878787878788,0.0,1.0,1.0,3.196969696969697,66,44.0
pad,2,0.05,M4,10,True,1.0,1.0,0.0,1.0,1.0,4.6,10,7.0
pad,2,0.05,M5,2,True,1.0,1.0,0.0,1.0,1.0,4.666666666666667,3,3.0
pad,2,0.05,marginal-M1,287,False,0.9393939393939394,,0.0,1.0,,3.727272727272727,33,
pad,2,0.05,marginal-M2,287,False,0.8947368421052632,,0.0,1.0,,3.664473684210526,152,
pad,2,0.05,marginal-M3,287,False,0.9393939393939394,,0.0,1.0,,3.6666666666666665,66,
pad,2,0.05,marginal-M4,287,False,1.0,,0.0,1.0,,4.2,10,
pad,2,0.05,marginal-M5,287,False,1.0,,0.0,1.0,,3.3333333333333335,3,
pad,2,0.1,B,22,False,0.9,0.8823529411764706,,0.95,0.9411764705882353,3.1,20,17.0
pad,2,0.1,M1,23,False,0.9696969696969697,0.9705882352941176,0.0,1.0,1.0,3.5454545454545454,33,17.0
pad,2,0.1,M2,162,False,0.8552631578947368,0.8691588785046729,0.0,1.0,1.0,2.960526315789474,152,107.0
pad,2,0.1,M3,76,False,0.8181818181818182,0.7964015151515152,0.0,1.0,1.0,2.742424242424242,66,44.0
pad,2,0.1,M4,10,False,1.0,1.0,0.0,1.0,1.0,4.1,10,7.0
pad,2,0.1,M5,2,True,1.0,1.0,0.0,1.0,1.0,4.666666666666667,3,3.0
pad,2,0.1,marginal-M1,287,False,0.8787878787878788,,0.0,1.0,,3.1515151515151514,33,
pad,2,0.1,marginal-M2,287,False,0.8552631578947368,,0.0,1.0,,3.2171052631578947,152,
pad,2,0.1,marginal-M3,287,False,0.9242424242424242,,0.0,1.0,,3.1818181818181817,66,
pad,2,0.1,marginal-M4,287,False,1.0,,0.0,1.0,,3.7,10,
pad,2,0.1,marginal-M5,287,False,1.0,,0.0,1.0,,3.0,3,
pad,2,0.15,B,22,False,0.9,0.8823529411764706,,0.95,0.9411764705882353,3.1,20,17.0
pad,2,0.15,M1,23,False,0.9696969696969697,0.9705882352941176,0.0,1.0,1.0,3.3636363636363638,33,17.0
pad,2,0.15,M2,162,False,0.8421052631578947,0.8598130841121495,0.0,1.0,1.0,2.7039473684210527,152,107.0
pad,2,0.15,M3,76,False,0.7575757575757576,0.7168560606060607,0.0,1.0,1.0,2.5,66,44.0
pad,2,0.15,M4,10,False,1.0,1.0,0.0,1.0,1.0,4.1,10,7.0
pad,2,0.15,M5,2,True,1.0,1.0,0.0,1.0,1.0,4.666666666666667,3,3.0
pad,2,0.15,marginal-M1,287,False,0.8484848484848485,,0.0,1.0,,2.5757575757575757,33,
pad,2,0.15,marginal-M2,287,False,0.8092105263157895,,0.0,1.0,,2.638157894736842,152,
pad,2,0.15,marginal-M3,287,False,0.7878787878787878,,0.0,1.0,,2.6363636363636362,66,
pad,2,0.15,marginal-M4,287,False,1.0,,0.0,1.0,,2.7,10,
pad,2,0.15,marginal-M5,287,False,0.3333333333333333,,0.0,1.0,,1.6666666666666667,3,
hiba,3,0.05,B,162,False,0.9333333333333333,0.881578947368421,,1.0,1.0,5.333333333333333,180,76.0
hiba,3,0.05,M1,27,False,0.9166666666666666,0.8571428571428571,0.0,1.0,1.0,5.083333333333333,12,7.0
hiba,3,0.05,M2,221,False,0.937007874015748,0.9441489361702128,0.0,1.0,1.0,5.771653543307087,127,94.0
hiba,3,0.05,M3,24,False,1.0,1.0,0.0,1.0,1.0,6.090909090909091,11,10.0
hiba,3,0.05,marginal-M1,396,False,1.0,,0.0,1.0,,5.333333333333333,12,
hiba,3,0.05,marginal-M2,396,False,0.937007874015748,,0.0,1.0,,5.3700787401574805,127,
hiba,3,0.05,marginal-M3,396,False,1.0,,0.0,1.0,,5.454545454545454,11,
hiba,3,0.1,B,162,False,0.8833333333333333,0.7949561403508771,,0.9166666666666666,0.9742240215924428,3.577777777777778,180,76.0
hiba,3,0.1,M1,27,False,0.5833333333333334,0.5,0.0,1.0,1.0,3.25,12,7.0
hiba,3,0.1,M2,221,False,0.9212598425196851,0.9228723404255319,0.0,1.0,1.0,4.543307086614173,127,94.0
hiba,3,0.1,M3,24,False,1.0,1.0,0.0,1.0,1.0,4.363636363636363,11,10.0
hiba,3,0.1,marginal-M1,396,False,0.9166666666666666,,0.0,1.0,,3.8333333333333335,12,
hiba,3,0.1,marginal-M2,396,False,0.9133858267716536,,0.0,1.0,,4.251968503937008,127,
hiba,3,0.1,marginal-M3,396,False,1.0,,0.0,1.0,,4.0,11,
hiba,3,0.15,B,162,False,0.8333333333333334,0.7264189886480908,,0.8555555555555555,0.913259109311741,2.6944444444444446,180,76.0
hiba,3,0.15,M1,27,False,0.5,0.4523809523809524,0.08333333333333333,0.9166666666666666,0.9285714285714286,2.4166666666666665,12,7.0
hiba,3,0.15,M2,221,False,0.8661417322834646,0.8675531914893617,0.007874015748031496,0.9921259842519685,0.9893617021276596,3.3858267716535435,127,94.0
hiba,3,0.15,M3,24,False,1.0,1.0,0.0,1.0,1.0,3.727272727272727,11,10.0
