cohort,draw,cls,n,f1,auc
pad,4,DF,0,,
pad,4,VASC,0,,
pad,4,SCC,38,0.23376623376623376,0.6189004900916258
hiba,5,MEL,55,0.6538461538461539,0.8983664772727272
hiba,5,NV,109,0.7575757575757576,0.9073031156326642
hiba,5,BCC,69,0.6065573770491803,0.8819619116061803
hiba,5,AK,14,0.3076923076923077,0.8734968734968735
hiba,5,BKL,23,0.3448275862068966,0.7891002415458938
hiba,5,DF,6,0.0,0.8114754098360656
hiba,5,VASC,11,0.7058823529411765,0.8133333333333334
hiba,5,SCC,24,0.3404255319148936,0.8652729384436701
pad,5,MEL,10,0.5882352941176471,0.8993610223642172
pad,5,NV,5,0.5,0.9710691823899371
pad,5,BCC,195,0.6949152542372882,0.7490584935897436
pad,5,AK,69,0.5432098765432098,0.8172714823690517
pad,5,BKL,7,0.36363636363636365,0.963381555153707
pad,5,DF,0,,
pad,5,VASC,0,,
pad,5,SCC,37,0.1518987341772152,0.5743715743715744
hiba,6,MEL,45,0.5316455696202531,0.8546783625730995
hiba,6,NV,90,0.6971428571428572,0.8596842744383728
hiba,6,BCC,64,0.5871559633027523,0.880906100478469
hiba,6,AK,8,0.16,0.8023584905660377
hiba,6,BKL,17,0.3380281690140845,0.8442095588235294
hiba,6,DF,14,0.3,0.7553778268063983
hiba,6,VASC,10,0.46153846153846156,0.8011406844106463
hiba,6,SCC,25,0.2962962962962963,0.7732258064516129
pad,6,MEL,12,0.375,0.9490566037735849
pad,6,NV,11,0.42105263157894735,0.9022556390977443
pad,6,BCC,170,0.7081967213114754,0.7555250137438153
pad,6,AK,48,0.5190839694656488,0.8076783114992723
pad,6,BKL,7,0.5833333333333334,0.9899470899470899
pad,6,DF,0,,
pad,6,VASC,0,,
pad,6,SCC,29,0.13559322033898305,0.6471078976640712
hiba,7,MEL,48,0.5869565217391305,0.8537946428571429
hiba,7,NV,200,0.7449856733524355,0.8858152173913043
hiba,7,BCC,55,0.5567010309278351,0.9008013263332413
hiba,7,AK,10,0.24242424242424243,0.8529411764705883
hiba,7,BKL,18,0.1188118811881188,0.6806314511232544
hiba,7,DF,17,0.3333333333333333,0.7193460490463215
hiba,7,VASC,13,0.631578947368421,0.796599626788306
hiba,7,SCC,23,0.3018867924528302,0.8564374322534024
pad,7,MEL,9,0.3333333333333333,0.960167714884696
pad,7,NV,13,0.5384615384615384,0.9245505452402004
pad,7,BCC,161,0.671280276816609,0.7267905238278459
pad,7,AK,51,0.4806201550387597,0.8149125120900377
pad,7,BKL,4,0.3333333333333333,0.8592592592592594
pad,7,DF,0,,
pad,7,VASC,0,,
pad,7,SCC,36,0.08108108108108109,0.5724206349206349
hiba,8,MEL,55,0.5052631578947369,0.8639011473962931
hiba,8,NV,183,0.7295597484276729,0.8912840020529541
hiba,8,BCC,59,0.616822429906542,0.9169213670464018
hiba,8,AK,17,0.4186046511627907,0.8808272588574334
hiba,8,BKL,15,0.16494845360824742,0.7340974212034385
hiba,8,DF,6,0.5454545454545454,0.6745810055865923
hiba,8,VASC,7,0.4444444444444444,0.5510204081632653
hiba,8,SCC,22,0.375,0.8775917065390749
pad,8,MEL,13,0.38095238095238093,0.9643589743589743
pad,8,NV,11,0.6363636363636364,0.98314268512944
pad,8,BCC,187,0.6987951807228916,0.7661276631864866
pad,8,AK,56,0.5352112676056338,0.8238952195664258
pad,8,BKL,8,0.48,0.9737704918032788
pad,8,DF,0,,
pad,8,VASC,0,,
pad,8,SCC,38,0.19047619047619047,0.5927272727272727
hiba,9,MEL,46,0.625,0.8497632371932845
hiba,9,NV,160,0.8562691131498471,0.9221230158730158
hiba,9,BCC,62,0.5663716814159292,0.8797909407665505
hiba,9,AK,15,0.11428571428571428,0.6956087824351298
hiba,9,BKL,18,0.3225806451612903,0.7922121517287679
hiba,9,DF,14,0.2222222222222222,0.737313432835821
hiba,9,VASC,11,0.5333333333333333,0.7337278106508877
hiba,9,SCC,23,0.2916666666666667,0.8042144571885836
pad,9,MEL,10,0.5,0.9663333333333334
pad,9,NV,17,0.5714285714285714,0.9415779963862678
pad,9,BCC,182,0.6948640483383686,0.7625772664835165
pad,9,AK,54,0.4927536231884058,0.8109809027777778
pad,9,BKL,7,0.5217391304347826,0.983026874115983
pad,9,DF,0,,
pad,9,VASC,0,,
pad,9,SCC,40,0.19047619047619047,0.6876851851851852
