cohort,draw,alpha,scheme,miss_cert,miss_all,worst_group_miss,any_group_over,release,release_pw,set_size,coverage,any_enforced_degenerate,n_test,n_mal,n_ben
hiba,0,0.02,mondrian,0.0,0.0,0.0,False,0.0,0.0,7.627586206896551,0.9977011494252873,True,435,154,281
hiba,0,0.02,marginal,0.0,0.0,0.0,False,0.0,0.0,7.24367816091954,0.9954022988505747,False,435,154,281
hiba,0,0.02,softmax,0.01948051948051948,0.01948051948051948,0.02459016393442623,True,0.24555160142348753,0.18202392292949568,,,False,435,154,281
hiba,0,0.02,temp,0.032467532467532464,0.032467532467532464,0.040983606557377046,True,0.24555160142348753,0.1895949337899802,,,False,435,154,281
hiba,0,0.03,mondrian,0.0,0.0,0.0,False,0.0,0.0,7.011494252873563,0.9885057471264368,True,435,154,281
hiba,0,0.03,marginal,0.0,0.0,0.0,False,0.0,0.0,6.172413793103448,0.9839080459770115,False,435,154,281
hiba,0,0.03,softmax,0.03896103896103896,0.03896103896103896,0.04918032786885246,True,0.3202846975088968,0.21772746345501764,,,False,435,154,281
hiba,0,0.03,temp,0.032467532467532464,0.032467532467532464,0.040983606557377046,True,0.3238434163701068,0.2280783028461047,,,False,435,154,281
hiba,0,0.04,mondrian,0.0,0.0,0.0,False,0.0,0.0,6.124137931034483,0.9839080459770115,False,435,154,281
hiba,0,0.04,marginal,0.0,0.0,0.0,False,0.0,0.0,6.066666666666666,0.9839080459770115,False,435,154,281
hiba,0,0.04,softmax,0.05194805194805195,0.05194805194805195,0.06557377049180328,True,0.3309608540925267,0.22310794898256198,,,False,435,154,281
hiba,0,0.04,temp,0.05844155844155844,0.05844155844155844,0.07377049180327869,True,0.47330960854092524,0.31255465209025574,,,False,435,154,281
hiba,0,0.05,mondrian,0.0,0.0,0.0,False,0.0,0.0,5.8229885057471265,0.9793103448275862,False,435,154,281
hiba,0,0.05,marginal,0.0,0.0,0.0,False,0.0,0.0,5.710344827586207,0.9816091954022989,False,435,154,281
hiba,0,0.05,softmax,0.05844155844155844,0.05844155844155844,0.07142857142857142,True,0.3736654804270463,0.23597453286307774,,,False,435,154,281
hiba,0,0.05,temp,0.05844155844155844,0.05844155844155844,0.07377049180327869,True,0.5729537366548043,0.4134332437428413,,,False,435,154,281
hiba,0,0.06,mondrian,0.0,0.0,0.0,False,0.0035587188612099642,0.0014705882352941176,5.255172413793104,0.9724137931034482,False,435,154,281
hiba,0,0.06,marginal,0.0,0.0,0.0,False,0.010676156583629894,0.01821266968325792,4.940229885057471,0.9770114942528736,False,435,154,281
hiba,0,0.06,softmax,0.07142857142857142,0.07142857142857142,0.08196721311475409,True,0.44483985765124556,0.3079564295353769,,,False,435,154,281
hiba,0,0.06,temp,0.06493506493506493,0.06493506493506493,0.08196721311475409,True,0.6014234875444839,0.43922429565618415,,,False,435,154,281
hiba,0,0.08,mondrian,0.006493506493506494,0.006493506493506494,0.00819672131147541,False,0.0071174377224199285,0.0020361990950226246,4.540229885057471,0.9632183908045977,False,435,154,281
hiba,0,0.08,marginal,0.0,0.0,0.0,False,0.014234875444839857,0.02164404223227753,4.358620689655172,0.960919540229885,False,435,154,281
