cohort,draw,variant,alpha,group,tau,T,miss,n_mal,release,n_ben
hiba,1,softmax,0.1,3,0.9445072574669476,1.0,0.07692307692307693,13.0,,
hiba,1,softmax,0.1,0,0.9445072574669476,1.0,,,0.5078125,256.0
hiba,1,softmax,0.15,1,0.7158810020486889,1.0,0.17647058823529413,17.0,,
hiba,1,softmax,0.15,2,0.7158810020486889,1.0,0.13008130081300814,123.0,,
hiba,1,softmax,0.15,3,0.7158810020486889,1.0,0.23076923076923078,13.0,,
hiba,1,softmax,0.15,0,0.7158810020486889,1.0,,,0.80078125,256.0
hiba,1,temp,0.05,1,0.4718636845678175,5.06904114632139,0.11764705882352941,17.0,,
hiba,1,temp,0.05,2,0.4718636845678175,5.06904114632139,0.04878048780487805,123.0,,
hiba,1,temp,0.05,3,0.4718636845678175,5.06904114632139,0.0,13.0,,
hiba,1,temp,0.05,0,0.4718636845678175,5.06904114632139,,,0.4921875,256.0
hiba,1,temp,0.1,1,0.38163500888186264,5.06904114632139,0.17647058823529413,17.0,,
hiba,1,temp,0.1,2,0.38163500888186264,5.06904114632139,0.06504065040650407,123.0,,
hiba,1,temp,0.1,3,0.38163500888186264,5.06904114632139,0.07692307692307693,13.0,,
hiba,1,temp,0.1,0,0.38163500888186264,5.06904114632139,,,0.7421875,256.0
hiba,1,temp,0.15,1,0.32020211967203877,5.06904114632139,0.17647058823529413,17.0,,
hiba,1,temp,0.15,2,0.32020211967203877,5.06904114632139,0.11382113821138211,123.0,,
hiba,1,temp,0.15,3,0.32020211967203877,5.06904114632139,0.23076923076923078,13.0,,
hiba,1,temp,0.15,0,0.32020211967203877,5.06904114632139,,,0.84375,256.0
pad,1,softmax,0.05,1,0.5686599618437502,1.0,0.0,26.0,,
pad,1,softmax,0.05,2,0.5686599618437502,1.0,0.05128205128205128,156.0,,
pad,1,softmax,0.05,3,0.5686599618437502,1.0,0.04081632653061224,49.0,,
pad,1,softmax,0.05,4,0.5686599618437502,1.0,0.16666666666666666,6.0,,
pad,1,softmax,0.05,5,0.5686599618437502,1.0,0.0,1.0,,
pad,1,softmax,0.05,0,0.5686599618437502,1.0,,,0.631578947368421,19.0
pad,1,softmax,0.1,1,0.0,1.0,0.0,26.0,,
pad,1,softmax,0.1,2,0.0,1.0,0.057692307692307696,156.0,,
pad,1,softmax,0.1,3,0.0,1.0,0.04081632653061224,49.0,,
pad,1,softmax,0.1,4,0.0,1.0,0.16666666666666666,6.0,,
pad,1,softmax,0.1,5,0.0,1.0,0.0,1.0,,
pad,1,softmax,0.1,0,0.0,1.0,,,0.7368421052631579,19.0
pad,1,softmax,0.15,1,0.0,1.0,0.0,26.0,,
pad,1,softmax,0.15,2,0.0,1.0,0.057692307692307696,156.0,,
pad,1,softmax,0.15,3,0.0,1.0,0.04081632653061224,49.0,,
pad,1,softmax,0.15,4,0.0,1.0,0.16666666666666666,6.0,,
pad,1,softmax,0.15,5,0.0,1.0,0.0,1.0,,
pad,1,softmax,0.15,0,0.0,1.0,,,0.7368421052631579,19.0
pad,1,temp,0.05,1,0.3796865178475929,3.765343072991042,0.0,26.0,,
pad,1,temp,0.05,2,0.3796865178475929,3.765343072991042,0.04487179487179487,156.0,,
pad,1,temp,0.05,3,0.3796865178475929,3.765343072991042,0.04081632653061224,49.0,,
pad,1,temp,0.05,4,0.3796865178475929,3.765343072991042,0.16666666666666666,6.0,,
pad,1,temp,0.05,5,0.3796865178475929,3.765343072991042,0.0,1.0,,
