cohort,draw,alpha,stratum,n_cal,degenerate,coverage,coverage_pw,miss_rate,referral,referral_pw,set_size,n_test
pad,0,0.1,cov-NV,,,1.0,,,,,,13
pad,0,0.1,cov-BCC,,,0.9423076923076923,,,,,,156
pad,0,0.1,sens-BCC,,,,,,1.0,,,156
pad,0,0.1,cov-AK,,,0.9305555555555556,,,,,,72
pad,0,0.1,sens-AK,,,,,,1.0,,,72
pad,0,0.1,cov-BKL,,,1.0,,,,,,8
pad,0,0.1,cov-SCC,,,0.5714285714285714,,,,,,35
pad,0,0.1,sens-SCC,,,,,,1.0,,,35
pad,0,0.15,B,20.0,False,1.0,1.0,,1.0,1.0,2.7142857142857144,21
pad,0,0.15,M1,26.0,False,0.8,0.8333333333333333,0.0,1.0,1.0,2.6,25
pad,0,0.15,M2,156.0,False,0.834319526627219,0.8263801095659503,0.0,1.0,1.0,2.710059171597633,169
pad,0,0.15,M3,70.0,False,0.75,0.7025,0.0,1.0,1.0,2.2777777777777777,72
pad,0,0.15,M4,10.0,False,0.7142857142857143,0.7142857142857143,0.0,1.0,1.0,3.4285714285714284,7
pad,0,0.15,M5,3.0,True,1.0,1.0,0.0,1.0,1.0,5.5,2
pad,0,0.15,cov-MEL,,,0.75,,,,,,12
pad,0,0.15,sens-MEL,,,,,,1.0,,,12
pad,0,0.15,cov-NV,,,1.0,,,,,,13
pad,0,0.15,cov-BCC,,,0.8397435897435898,,,,,,156
pad,0,0.15,sens-BCC,,,,,,1.0,,,156
pad,0,0.15,cov-AK,,,0.9166666666666666,,,,,,72
pad,0,0.15,sens-AK,,,,,,1.0,,,72
pad,0,0.15,cov-BKL,,,1.0,,,,,,8
pad,0,0.15,cov-SCC,,,0.45714285714285713,,,,,,35
pad,0,0.15,sens-SCC,,,,,,1.0,,,35
hiba,1,0.05,B,161.0,False,0.9859154929577465,0.9675324675324676,,1.0,1.0,6.253521126760563,213
hiba,1,0.05,M1,20.0,False,1.0,1.0,0.0,1.0,1.0,6.421052631578948,19
hiba,1,0.05,M2,230.0,False,0.9905660377358491,0.9941176470588236,0.0,1.0,1.0,6.584905660377358,106
hiba,1,0.05,M3,24.0,False,1.0,1.0,0.0,1.0,1.0,6.454545454545454,11
hiba,1,0.05,cov-MEL,,,1.0,,,,,,49
hiba,1,0.05,sens-MEL,,,,,,1.0,,,49
hiba,1,0.05,cov-NV,,,1.0,,,,,,168
hiba,1,0.05,cov-BCC,,,1.0,,,,,,52
hiba,1,0.05,sens-BCC,,,,,,1.0,,,52
hiba,1,0.05,cov-AK,,,1.0,,,,,,9
hiba,1,0.05,sens-AK,,,,,,1.0,,,9
hiba,1,0.05,cov-BKL,,,1.0,,,,,,18
hiba,1,0.05,cov-DF,,,0.8333333333333334,,,,,,12
hiba,1,0.05,cov-VASC,,,0.9333333333333333,,,,,,15
hiba,1,0.05,cov-SCC,,,0.9615384615384616,,,,,,26
hiba,1,0.05,sens-SCC,,,,,,1.0,,,26
hiba,1,0.1,B,161.0,False,0.9624413145539906,0.9090909090909091,,1.0,1.0,4.380281690140845,213
hiba,1,0.1,M1,20.0,False,1.0,1.0,0.0,1.0,1.0,4.526315789473684,19
hiba,1,0.1,M2,230.0,False,0.9622641509433962,0.9647058823529412,0.0,1.0,1.0,4.613207547169812,106
hiba,1,0.1,M3,24.0,False,0.8181818181818182,0.8,0.0,1.0,1.0,3.6363636363636362,11
hiba,1,0.1,cov-MEL,,,1.0,,,,,,49
hiba,1,0.1,sens-MEL,,,,,,1.0,,,49
hiba,1,0.1,cov-NV,,,0.9880952380952381,,,,,,168
hiba,1,0.1,cov-BCC,,,1.0,,,,,,52
hiba,1,0.1,sens-BCC,,,,,,1.0,,,52
hiba,1,0.1,cov-AK,,,1.0,,,,,,9
hiba,1,0.1,sens-AK,,,,,,1.0,,,9
hiba,1,0.1,cov-BKL,,,1.0,,,,,,18
hiba,1,0.1,cov-DF,,,0.6666666666666666,,,,,,12
hiba,1,0.1,cov-VASC,,,0.8666666666666667,,,,,,15
hiba,1,0.1,cov-SCC,,,0.7692307692307693,,,,,,26
hiba,1,0.1,sens-SCC,,,,,,1.0,,,26
hiba,1,0.15,B,161.0,False,0.9483568075117371,0.8798701298701299,,1.0,1.0,3.596244131455399,213
hiba,1,0.15,M1,20.0,False,0.8947368421052632,0.9404761904761905,0.0,1.0,1.0,3.3684210526315788,19
hiba,1,0.15,M2,230.0,False,0.8867924528301887,0.8917647058823529,0.0,1.0,1.0,3.6132075471698113,106
hiba,1,0.15,M3,24.0,False,0.8181818181818182,0.8,0.0,1.0,1.0,3.0,11
hiba,1,0.15,cov-MEL,,,0.9795918367346939,,,,,,49
hiba,1,0.15,sens-MEL,,,,,,1.0,,,49
hiba,1,0.15,cov-NV,,,0.9880952380952381,,,,,,168
hiba,1,0.15,cov-BCC,,,0.9423076923076923,,,,,,52
hiba,1,0.15,sens-BCC,,,,,,1.0,,,52
hiba,1,0.15,cov-AK,,,1.0,,,,,,9
hiba,1,0.15,sens-AK,,,,,,1.0,,,9
hiba,1,0.15,cov-BKL,,,0.9444444444444444,,,,,,18
hiba,1,0.15,cov-DF,,,0.5833333333333334,,,,,,12
hiba,1,0.15,cov-VASC,,,0.8,,,,,,15
hiba,1,0.15,cov-SCC,,,0.5384615384615384,,,,,,26
hiba,1,0.15,sens-SCC,,,,,,1.0,,,26
pad,1,0.05,B,25.0,False,1.0,1.0,,1.0,1.0,4.466666666666667,15
pad,1,0.05,M1,25.0,False,0.92,0.9111111111111111,0.0,1.0,1.0,4.0,25
pad,1,0.05,M2,152.0,False,0.9880952380952381,0.9829059829059829,0.0,1.0,1.0,4.279761904761905,168
pad,1,0.05,M3,73.0,False,0.9558823529411765,0.9361702127659575,0.0,1.0,1.0,3.911764705882353,68
pad,1,0.05,M4,6.0,True,1.0,1.0,0.0,1.0,1.0,5.285714285714286,14
pad,1,0.05,M5,2.0,True,1.0,1.0,0.0,1.0,1.0,5.25,4
pad,1,0.05,cov-MEL,,,0.9090909090909091,,,,,,11
pad,1,0.05,sens-MEL,,,,,,1.0,,,11
