cohort,stratum,alpha,n_cal,deg_rate,cov,cov_sd,cov_min,cov_pw,miss,miss_sd,ref,ref_pw,set_size,n_test
pad,marginal-M2,0.15,284.56,0.0,0.8317,0.0343,0.7452,,0.0,0.0,1.0,,2.8141,156.11
pad,marginal-M3,0.05,284.56,0.0,0.9728,0.0158,0.9265,,0.0,0.0,1.0,,4.0185,71.65
pad,marginal-M3,0.1,284.56,0.0,0.9367,0.0302,0.8529,,0.0,0.0,1.0,,3.368,71.65
pad,marginal-M3,0.15,284.56,0.0,0.8779,0.0357,0.7879,,0.0,0.0,1.0,,2.9152,71.65
pad,marginal-M4,0.05,284.56,0.0,0.9546,0.0649,0.75,,0.0,0.0,1.0,,4.6115,8.26
pad,marginal-M4,0.1,284.56,0.0,0.9294,0.0927,0.5,,0.0,0.0,1.0,,3.7074,8.26
pad,marginal-M4,0.15,284.56,0.0,0.8994,0.1065,0.5,,0.0,0.0,1.0,,3.1926,8.26
pad,marginal-M5,0.05,284.4316,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,,3.3226,2.7684
pad,marginal-M5,0.1,284.4316,0.0,0.8849,0.1592,0.5,,0.0,0.0,1.0,,2.6691,2.7684
pad,marginal-M5,0.15,284.4316,0.0,0.6081,0.2809,0.0,,0.0,0.0,1.0,,1.8847,2.7684
